min_silence_len_range,silence_thresh_range,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
105,-40,0,0,0,0,0,2,8,24,104,130,25,7,0,0,0,0,0,0,0,0
105,-39,0,0,0,0,0,0,0,6,62,206,19,5,2,0,0,0,0,0,0,0
105,-38,0,0,0,0,0,0,0,3,31,226,30,7,3,0,0,0,0,0,0,0
105,-37,0,0,0,0,0,0,0,4,9,264,19,4,0,0,0,0,0,0,0,0
105,-36,0,0,0,0,0,0,0,4,6,284,6,0,0,0,0,0,0,0,0,0
105,-35,0,0,0,0,0,0,0,0,14,284,2,0,0,0,0,0,0,0,0,0
105,-34,0,0,0,0,0,0,0,1,22,263,14,0,0,0,0,0,0,0,0,0
105,-33,0,0,0,0,0,0,2,10,42,235,11,0,0,0,0,0,0,0,0,0
105,-32,0,0,0,0,0,0,2,13,54,221,10,0,0,0,0,0,0,0,0,0
105,-31,0,0,0,0,0,0,7,25,80,186,2,0,0,0,0,0,0,0,0,0
105,-30,0,0,0,0,0,2,15,34,94,152,3,0,0,0,0,0,0,0,0,0
106,-40,0,0,0,0,0,2,9,24,106,129,23,7,0,0,0,0,0,0,0,0
106,-39,0,0,0,0,0,0,0,6,67,201,19,5,2,0,0,0,0,0,0,0
106,-38,0,0,0,0,0,0,0,3,31,225,31,7,3,0,0,0,0,0,0,0
106,-37,0,0,0,0,0,0,0,4,10,263,19,4,0,0,0,0,0,0,0,0
106,-36,0,0,0,0,0,0,0,4,6,284,6,0,0,0,0,0,0,0,0,0
106,-35,0,0,0,0,0,0,0,0,14,284,2,0,0,0,0,0,0,0,0,0
106,-34,0,0,0,0,0,0,0,1,22,263,14,0,0,0,0,0,0,0,0,0
106,-33,0,0,0,0,0,0,2,10,45,232,11,0,0,0,0,0,0,0,0,0
106,-32,0,0,0,0,0,0,2,16,52,220,10,0,0,0,0,0,0,0,0,0
106,-31,0,0,0,0,0,0,7,25,80,186,2,0,0,0,0,0,0,0,0,0
106,-30,0,0,0,0,0,2,15,34,94,152,3,0,0,0,0,0,0,0,0,0
107,-40,0,0,0,0,0,2,9,27,105,127,24,6,0,0,0,0,0,0,0,0
107,-39,0,0,0,0,0,0,0,6,63,191,33,4,3,0,0,0,0,0,0,0
107,-38,0,0,0,0,0,0,0,3,32,224,31,7,3,0,0,0,0,0,0,0
107,-37,0,0,0,0,0,0,0,4,10,263,19,4,0,0,0,0,0,0,0,0
107,-36,0,0,0,0,0,0,0,4,7,283,6,0,0,0,0,0,0,0,0,0
107,-35,0,0,0,0,0,0,0,0,12,282,6,0,0,0,0,0,0,0,0,0
107,-34,0,0,0,0,0,0,0,1,22,263,14,0,0,0,0,0,0,0,0,0
107,-33,0,0,0,0,0,0,2,10,45,232,11,0,0,0,0,0,0,0,0,0
107,-32,0,0,0,0,0,0,2,19,53,216,10,0,0,0,0,0,0,0,0,0
107,-31,0,0,0,0,0,0,7,27,80,184,2,0,0,0,0,0,0,0,0,0
107,-30,0,0,0,0,0,2,15,35,93,152,3,0,0,0,0,0,0,0,0,0
108,-40,0,0,0,0,0,2,10,28,108,123,23,6,0,0,0,0,0,0,0,0
108,-39,0,0,0,0,0,0,1,7,65,201,19,5,2,0,0,0,0,0,0,0
108,-38,0,0,0,0,0,0,0,3,32,224,31,7,3,0,0,0,0,0,0,0
108,-37,0,0,0,0,0,0,0,4,9,265,18,4,0,0,0,0,0,0,0,0
108,-36,0,0,0,0,0,0,0,4,7,283,6,0,0,0,0,0,0,0,0,0
108,-35,0,0,0,0,0,0,0,0,12,282,6,0,0,0,0,0,0,0,0,0
108,-34,0,0,0,0,0,0,0,1,22,263,14,0,0,0,0,0,0,0,0,0
108,-33,0,0,0,0,0,0,2,10,45,232,11,0,0,0,0,0,0,0,0,0
108,-32,0,0,0,0,0,0,2,19,53,216,10,0,0,0,0,0,0,0,0,0
108,-31,0,0,0,0,0,0,8,26,83,181,2,0,0,0,0,0,0,0,0,0
108,-30,0,0,0,0,0,2,14,37,92,152,3,0,0,0,0,0,0,0,0,0
109,-40,0,0,0,0,0,2,11,27,112,119,24,5,0,0,0,0,0,0,0,0
109,-39,0,0,0,0,0,0,1,7,69,198,19,4,2,0,0,0,0,0,0,0
109,-38,0,0,0,0,0,0,0,3,33,224,33,4,3,0,0,0,0,0,0,0
109,-37,0,0,0,0,0,0,0,4,10,263,19,4,0,0,0,0,0,0,0,0
109,-36,0,0,0,0,0,0,0,4,6,284,6,0,0,0,0,0,0,0,0,0
109,-35,0,0,0,0,0,0,0,0,12,282,6,0,0,0,0,0,0,0,0,0
109,-34,0,0,0,0,0,0,0,1,22,263,14,0,0,0,0,0,0,0,0,0
109,-33,0,0,0,0,0,0,2,10,45,232,11,0,0,0,0,0,0,0,0,0
109,-32,0,0,0,0,0,0,2,20,52,216,10,0,0,0,0,0,0,0,0,0
109,-31,0,0,0,0,0,0,8,27,84,179,2,0,0,0,0,0,0,0,0,0
109,-30,0,0,0,0,0,2,14,37,92,152,3,0,0,0,0,0,0,0,0,0
110,-40,0,0,0,0,0,2,11,30,110,117,24,6,0,0,0,0,0,0,0,0
110,-39,0,0,0,0,0,0,1,8,67,199,19,4,2,0,0,0,0,0,0,0
110,-38,0,0,0,0,0,0,0,3,33,224,33,4,3,0,0,0,0,0,0,0
110,-37,0,0,0,0,0,0,0,4,11,262,19,4,0,0,0,0,0,0,0,0
110,-36,0,0,0,0,0,0,0,4,6,284,6,0,0,0,0,0,0,0,0,0
110,-35,0,0,0,0,0,0,0,0,12,282,6,0,0,0,0,0,0,0,0,0
110,-34,0,0,0,0,0,0,0,1,22,263,14,0,0,0,0,0,0,0,0,0
110,-33,0,0,0,0,0,0,2,10,45,232,11,0,0,0,0,0,0,0,0,0
110,-32,0,0,0,0,0,0,2,21,51,216,10,0,0,0,0,0,0,0,0,0
110,-31,0,0,0,0,0,0,8,27,87,176,2,0,0,0,0,0,0,0,0,0
110,-30,0,0,0,0,0,2,14,37,92,152,3,0,0,0,0,0,0,0,0,0
111,-40,0,0,0,0,0,2,12,32,116,111,23,4,0,0,0,0,0,0,0,0
111,-39,0,0,0,0,0,0,1,8,68,198,19,4,2,0,0,0,0,0,0,0
111,-38,0,0,0,0,0,0,0,1,35,224,33,4,3,0,0,0,0,0,0,0
111,-37,0,0,0,0,0,0,0,4,11,262,19,4,0,0,0,0,0,0,0,0
111,-36,0,0,0,0,0,0,0,4,6,284,6,0,0,0,0,0,0,0,0,0
111,-35,0,0,0,0,0,0,0,0,12,282,6,0,0,0,0,0,0,0,0,0
111,-34,0,0,0,0,0,0,0,2,19,261,18,0,0,0,0,0,0,0,0,0
111,-33,0,0,0,0,0,0,0,7,38,243,12,0,0,0,0,0,0,0,0,0
111,-32,0,0,0,0,0,0,2,21,52,215,10,0,0,0,0,0,0,0,0,0
111,-31,0,0,0,0,0,0,8,27,88,175,2,0,0,0,0,0,0,0,0,0
111,-30,0,0,0,0,0,2,14,37,94,150,3,0,0,0,0,0,0,0,0,0
112,-40,0,0,0,0,0,2,12,33,120,107,22,4,0,0,0,0,0,0,0,0
112,-39,0,0,0,0,0,0,1,8,70,189,26,4,2,0,0,0,0,0,0,0
112,-38,0,0,0,0,0,0,0,2,34,225,32,4,3,0,0,0,0,0,0,0
112,-37,0,0,0,0,0,0,0,4,11,262,19,4,0,0,0,0,0,0,0,0
112,-36,0,0,0,0,0,0,0,4,5,284,7,0,0,0,0,0,0,0,0,0
112,-35,0,0,0,0,0,0,0,0,12,282,6,0,0,0,0,0,0,0,0,0
112,-34,0,0,0,0,0,0,0,2,20,260,18,0,0,0,0,0,0,0,0,0
112,-33,0,0,0,0,0,0,0,7,38,243,12,0,0,0,0,0,0,0,0,0
112,-32,0,0,0,0,0,0,2,21,52,215,10,0,0,0,0,0,0,0,0,0
112,-31,0,0,0,0,0,0,8,27,90,173,2,0,0,0,0,0,0,0,0,0
112,-30,0,0,0,0,0,2,14,37,94,150,3,0,0,0,0,0,0,0,0,0
113,-40,0,0,0,0,0,2,12,35,121,104,23,3,0,0,0,0,0,0,0,0
113,-39,0,0,0,0,0,0,1,10,66,184,33,3,3,0,0,0,0,0,0,0
113,-38,0,0,0,0,0,0,0,2,34,225,32,4,3,0,0,0,0,0,0,0
113,-37,0,0,0,0,0,0,0,4,11,263,18,4,0,0,0,0,0,0,0,0
113,-36,0,0,0,0,0,0,0,4,5,281,10,0,0,0,0,0,0,0,0,0
113,-35,0,0,0,0,0,0,0,0,13,281,6,0,0,0,0,0,0,0,0,0
113,-34,0,0,0,0,0,0,0,6,20,262,12,0,0,0,0,0,0,0,0,0
113,-33,0,0,0,0,0,0,0,7,38,243,12,0,0,0,0,0,0,0,0,0
113,-32,0,0,0,0,0,0,2,22,62,204,10,0,0,0,0,0,0,0,0,0
113,-31,0,0,0,0,0,0,8,27,90,173,2,0,0,0,0,0,0,0,0,0
113,-30,0,0,0,0,0,3,13,37,92,152,3,0,0,0,0,0,0,0,0,0
114,-40,0,0,0,0,0,3,10,40,119,103,22,3,0,0,0,0,0,0,0,0
114,-39,0,0,0,0,0,0,1,11,66,183,33,3,3,0,0,0,0,0,0,0
114,-38,0,0,0,0,0,0,0,2,34,225,32,4,3,0,0,0,0,0,0,0
114,-37,0,0,0,0,0,0,0,3,12,263,18,4,0,0,0,0,0,0,0,0
114,-36,0,0,0,0,0,0,0,4,5,281,10,0,0,0,0,0,0,0,0,0
114,-35,0,0,0,0,0,0,0,0,13,281,6,0,0,0,0,0,0,0,0,0
114,-34,0,0,0,0,0,0,0,6,21,269,4,0,0,0,0,0,0,0,0,0
114,-33,0,0,0,0,0,0,0,7,34,245,14,0,0,0,0,0,0,0,0,0
114,-32,0,0,0,0,0,0,2,23,65,200,10,0,0,0,0,0,0,0,0,0
114,-31,0,0,0,0,0,0,8,27,90,173,2,0,0,0,0,0,0,0,0,0
114,-30,0,0,0,0,0,3,13,37,92,152,3,0,0,0,0,0,0,0,0,0
115,-40,0,0,0,0,0,3,12,40,120,101,21,3,0,0,0,0,0,0,0,0
115,-39,0,0,0,0,0,0,3,11,67,181,32,3,3,0,0,0,0,0,0,0
115,-38,0,0,0,0,0,0,0,0,30,231,32,4,3,0,0,0,0,0,0,0
115,-37,0,0,0,0,0,0,0,3,12,263,18,4,0,0,0,0,0,0,0,0
115,-36,0,0,0,0,0,0,0,4,6,280,10,0,0,0,0,0,0,0,0,0
115,-35,0,0,0,0,0,0,0,0,13,281,6,0,0,0,0,0,0,0,0,0
115,-34,0,0,0,0,0,0,0,6,21,269,4,0,0,0,0,0,0,0,0,0
115,-33,0,0,0,0,0,0,0,7,35,245,13,0,0,0,0,0,0,0,0,0
115,-32,0,0,0,0,0,0,2,23,72,193,10,0,0,0,0,0,0,0,0,0
115,-31,0,0,0,0,0,0,8,27,90,173,2,0,0,0,0,0,0,0,0,0
115,-30,0,0,0,0,0,3,13,38,95,148,3,0,0,0,0,0,0,0,0,0
